index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,11,1,1,http://www.newindianexpress.com/states/telangana/Onion-Prices-May-Touch-Rs-100-per-Kg/2015/08/25/article2991941.ece,2eeee5ba850d35c7a0b4c1ceabc7fe48,No
2,11,1,2,http://www.newindianexpress.com/nation/AAP-Government-Accuses-NAFED-of-Making-Misleading-Statement-on-Onion-Prices/2015/08/06/article2960296.ece,a264f956343f11afd82079d17c059340,No
3,11,1,3,http://www.newindianexpress.com/states/odisha/Onion-Price-Rises-Again/2015/08/02/article2953239.ece,a15d5017735de84ecf1b7d24cc2b8ede,No
4,11,1,4,http://www.newindianexpress.com/states/odisha/Onion-Price-Rises-With-Fall-in-Odisha-Imports-Domestic-Supply/2015/07/26/article2941112.ece,cbf29bb6498958e6ce169fd339e44359,No
5,11,1,5,http://www.newindianexpress.com/states/kerala/Onion-Price-Hits-Record-High/2015/08/23/article2988696.ece,60ab37b73a366d7c9c79f2a0cbaecec3,No
6,11,1,6,http://www.newindianexpress.com/cities/hyderabad/Onion-prices-soar-likely-to-touch-Rs-100-due-to-U-stir/2013/08/14/article1733487.ece,82a5ad478c2d06b1e63dd63ba7849a0c,No
7,11,1,7,http://www.newindianexpress.com/business/news/Onion-Prices-at-Near-Two-year-Highs-on-Weak-Monsoon-Rains/2015/07/23/article2936385.ece,3f3dab79cea68607b9575dddb84c49b8,No
8,11,1,8,http://www.newindianexpress.com/states/odisha/After-Potato-Onion-Mission-Comes-to-Bring-Down-Price/2015/08/04/article2956697.ece,cc2c32463e82baca1922a16a74c3ac23,No
9,11,1,9,http://www.newindianexpress.com/nation/Onion-prices-to-dip-by-next-month-Thomas/2013/09/18/article1789987.ece,5bc15fa8b72bee9dec94ff997d56851e,No
10,11,1,10,http://www.newindianexpress.com/states/karnataka/Onion-Selling-at-Rs-40kg-APMC-Blames-It-On-Reduced-Supply/2014/07/03/article2312197.ece,7b6ab38b28c4e82788391e2d11037cd3,No
11,11,5,1,http://www.newindianexpress.com/nation/Armed-Guards-to-Protect-Onions-Traders-in-Pune-Market/2015/09/08/article3017170.ece,5a5bfc6bd9499ae213e5ae3ab9e4f270,No
12,11,5,2,http://www.newindianexpress.com/cities/hyderabad/Distressed-Onion-growers-Descend-on-Hyderabad-With-Truckloads-of-Hope/2016/03/07/article3314355.ece,7f04747d805aeff0f7fff363051c8515,No
13,11,5,3,http://www.newindianexpress.com/business/news/Lower-Fuel-Prices-Bring-Down-Indias-Wholesale-Inflation-Further/2015/03/16/article2716486.ece,edfaae93a9e831eb0188a02b8a081b0e,No
14,11,5,4,http://www.newindianexpress.com/states/telangana/Plummeting-Onion-Prices-Cause-Tears-to-Farmers/2016/03/24/article3343471.ece,d20d6c4671291e8653702bd77230080f,No
15,11,5,5,http://www.newindianexpress.com/nation/Onion-Crisis-India-Imports-18000-Tonnes-From-Egypt/2015/10/03/article3060880.ece,7e89b7ee7c60700d11c82a4db076bbde,No
16,11,5,6,http://www.newindianexpress.com/states/odisha/Lack-of-storage-facilities-major-cause-of-rise-in-onion-prices/2013/11/11/article1884001.ece,78ff98d0ea546757d3846a24a0723dc7,No
17,11,5,7,http://www.newindianexpress.com/states/odisha/Onion-Potato-Prices-Burn-Hole-in-Pocket/2015/08/03/article2954815.ece,215211e77d4daa26e3b161bc6071d607,No
18,11,5,8,http://www.newindianexpress.com/states/odisha/Onion-Price-Shoots-up-to-Rs-60-in-Rourkela/2015/08/25/article2992354.ece,db89a45b7cf905d15b5e3f1e97d71962,No
19,11,5,9,http://www.newindianexpress.com/states/telangana/Onions-being-Sold-at-Rs-20-a-kg-at-Rythu-Bazars/2015/08/06/article2960125.ece,e3fbf94eed55f7744b4c4f34bbed578f,No
20,11,5,10,http://www.newindianexpress.com/nation/Protesting-Price-Rise-MP-Congress-to-Distribute-Onions-Tur-Dal/2015/08/25/article2993087.ece,34b2b2d3c48d885986d10c007a2725c0,No
21,11,2,1,http://www.newindianexpress.com/cities/chennai/A-Glut-in-Supply-Onion-Prices-Crash-in-Chennai/2016/02/01/article3254918.ece,05094575d3238b29473dddbc2e7c99c5,No
